feature,gini_importance,perm_importance_mean,perm_importance_std
AP2DC_643,0.0022148639555564747,0.0007157245797139389,0.000409922870475944
AP2DC_67,0.0022102948843061433,0.0010831867416905006,0.0003126645317332638
AP2DC_328,0.0021811120668801605,0.000506314634224958,0.0006028609516938362
AP2DC_34,0.002170154049428047,-0.00016224555234868322,0.0005074502000750697
AP2DC_306,0.00216945720112214,-0.000769229862434917,0.0005356405852573815
AP2DC_705,0.002154016810761369,-0.0006956858962565149,0.0006172220886945561
AP2DC_264,0.002153829132712599,-0.0002712752493243986,0.0003811617041119256
AP2DC_759,0.002151345248010208,0.0013906649248307979,0.0004558159143148234
AP2DC_111,0.0021356250003088436,-0.0009959291175743123,0.0004032067720153559
AP2DC_524,0.002128704244484119,0.00019042064615018006,0.0005688043024251074
AP2DC_49,0.002126130826789574,7.827231346368979e-06,0.0007354417744853888
AP2DC_683,0.002116170738367872,-5.735772075410317e-06,0.000834009523029615
AP2DC_194,0.0021141840167790355,-0.0005817022345357747,0.00040797078936586267
AP2DC_342,0.002113453259024183,0.000547752328139528,0.000350710794344173
AP2DC_348,0.0020933509866210005,0.0008781552092569145,0.0002957574068741699
AP2DC_745,0.0020880940662027963,0.0003304683244516049,0.0006037165379221955
AP2DC_457,0.002080513545038765,8.13018670247967e-05,0.0005571454594661515
AP2DC_106,0.002073874240280994,-5.3667593302642035e-05,0.0008602991430373977
AP2DC_24,0.002068859154819367,0.0006135017428250733,0.00046781225814362866
AP2DC_602,0.0020669126086824484,0.0005066345618846447,0.0007074674639356468
AP2DC_642,0.0020634621042828405,-0.0003551065086096261,0.00032416145371861303
AP2DC_456,0.0020537281008158603,-0.001528149593300754,0.0007559444291671856
AP2DC_641,0.002041922082015533,0.0008073107807270996,0.0006511721178786685
AP2DC_629,0.002030337514865496,0.0005444090928187761,0.000479066322359889
AP2DC_559,0.0020153508584025825,3.078325920375935e-05,0.0003767451798191761
AP2DC_73,0.0020138539284884787,0.00027728520688928836,0.00047584583913898667
AP2DC_651,0.0020036753510110404,0.002097928451451758,0.0008372441666749604
AP2DC_656,0.0019997652595913173,0.0013174333905733304,0.00015722151964264757
AP2DC_534,0.001999320541852897,0.00020788377573879301,0.0007121825073759852
AP2DC_403,0.001994045196598199,-0.0005593383568635258,0.00045733170724561326
AP2DC_30,0.0019895132350407226,-0.0006133759732699362,0.0004021300802189266
AP2DC_64,0.001988216409042851,-4.44229502538307e-05,0.00040036232042494447
AP2DC_526,0.0019820872578389364,0.00016723940599639998,0.0002649236913701444
AP2DC_746,0.0019469180355309848,0.0006348737766094015,0.0003500824129708014
AP2DC_543,0.0019465604676991266,0.00030890231099253154,0.00027504758740759316
