Split,Fingerprint,Model,Acc_train,BalAcc_train,F1_train,MCC_train,Acc_CV,BalAcc_CV,F1_CV,MCC_CV,Acc_test,BalAcc_test,F1_test,MCC_test,Time_s
Random,PubChem,MLP,0.7635431918008785,0.7454525010814516,0.75702910955587,0.6403323278622693,0.6240849194729137,0.5969602482705051,0.6096490281381398,0.423159230669695,0.6345646437994723,0.6209815445934673,0.6185406456025268,0.4485741498782166,10.26090693473816
Random,Substructure,Ridge Classifier,0.5274524158125915,0.5157312861786182,0.526022631289565,0.2843702112593215,0.49633967789165445,0.4838517205863868,0.4962221609760012,0.23763378739804655,0.4762532981530343,0.47096899950494336,0.475886480085506,0.21333885017309948,0.05124855041503906
Random,Substructure,Logistic Reg (L1),0.5252562225475842,0.5155511565801016,0.5259115821255578,0.28217269739934336,0.5021961932650073,0.49247340772718523,0.5044313770488078,0.24868181551249166,0.47757255936675463,0.47517354390527977,0.4790823364036249,0.21687491125870115,7.933967590332031
Random,Substructure,Logistic Reg (EN),0.5252562225475842,0.5155511565801016,0.5259115821255578,0.28217269739934336,0.5021961932650073,0.49249568624687307,0.5045264158093608,0.24874606629125687,0.47757255936675463,0.47517354390527977,0.4790823364036249,0.21687491125870115,6.8431031703948975
Random,Substructure,Naive Bayes,0.4718155197657394,0.4633950757706285,0.4753450462942998,0.20228921058047894,0.45717423133235724,0.44907527720917845,0.46075600630412467,0.18056377465371679,0.43535620052770446,0.430863405702681,0.43662514533756525,0.14911664310433034,0.03471112251281738
Random,Substructure,LDA,0.5325768667642753,0.5053217668102512,0.523392881035857,0.27851715282223094,0.5183016105417276,0.49092245209625784,0.508962264721925,0.25701971096659243,0.5,0.48477730464872487,0.4911341344509969,0.2393391553088522,0.07311773300170898
Random,Substructure,KNN,0.640190336749634,0.6262356450553287,0.6322948395161492,0.4596947525187621,0.5435578330893118,0.5268440535985229,0.5324859316218419,0.3081242262696961,0.5593667546174143,0.5522603719418447,0.5430476741244081,0.3435152815251396,0.17260098457336426
Random,Substructure,SVC (RBF),0.2939238653001464,0.328972497786756,0.24218458576484686,-0.008049014595464069,0.28038067349926793,0.3306981027188281,0.12553014591313907,-0.021435179461234365,0.3007915567282322,0.32530774472621343,0.24704004269296267,-0.01435812233689201,1.1294059753417969
Random,Substructure,SVC (Linear),0.287701317715959,0.31731911013982467,0.2564798236683243,-0.018487257273924904,0.3089311859443631,0.3346845302736033,0.2854220131314674,-0.0006566584810075796,0.2796833773087071,0.2996592796125233,0.24270113604210727,-0.050277884438629156,0.6531496047973633
Random,Substructure,Decision Tree,0.7335285505124451,0.7326616295772359,0.7390470463690179,0.6039546913506706,0.5541727672035139,0.5494249801685441,0.5629307624012031,0.3353066707211115,0.5620052770448549,0.5604890855621423,0.5673578266099852,0.34590017191409583,0.07376956939697266
Random,Substructure,Random Forest,0.7316983894582724,0.7306135720941894,0.7369131655155561,0.6007753077286022,0.5812591508052709,0.5718012805810869,0.586517304870345,0.36917332189950886,0.5857519788918206,0.5818045614363557,0.5879780261440566,0.3783451440932879,5.453293323516846
Random,Substructure,Extra Trees,0.7335285505124451,0.7326616295772359,0.7390470463690179,0.6039546913506706,0.578696925329429,0.5712562076124456,0.5860648967555209,0.36866576694635783,0.5804749340369393,0.5769406303158494,0.584868312616704,0.37154470437321346,4.294947385787964
Random,Substructure,Gradient Boosting,0.6486090775988287,0.6252439148907153,0.6376875872418699,0.4630469283253053,0.5728404099560761,0.5498399238463801,0.5622529424598284,0.3459759790412566,0.5620052770448549,0.548872776356704,0.5460023092671544,0.3385892328351348,12.122811317443848
Random,Substructure,XGBoost,0.7148609077598829,0.702274178625805,0.7131934489116728,0.5688554714986245,0.5812591508052709,0.5638127344174058,0.578060309898088,0.36179199341311313,0.5897097625329816,0.5806664583549447,0.5799172569884278,0.38288723417432613,2.3363170623779297
