Split,Fingerprint,Model,R2_train,RMSE_train,MAE_train,R2_CV,RMSE_CV,MAE_CV,R2_test,RMSE_test,MAE_test,Time_s
Kennard-Stone,Substructure,Lasso,0.11622073239899122,1.1777562383764824,0.9647981447125353,0.11376108869785984,1.1793940047610783,0.9658518390403225,-0.09579661646255566,1.2955372862569468,1.0342701482141143,0.0677633285522461
Kennard-Stone,Substructure,ElasticNet,0.16078655036818335,1.1476771271338015,0.9407645976845033,0.15768934758964104,1.1497929864444036,0.9422229480752583,-0.08727545041979012,1.2904902577227981,1.0287867365726808,0.07831382751464844
Kennard-Stone,Substructure,Bayesian Ridge,0.2738426646057168,1.0675761748401478,0.8527674895892526,0.25684286393183053,1.0800001973428734,0.8630497408082932,0.04346342569929451,1.210418992157658,0.9456264315893234,0.05584073066711426
Kennard-Stone,Substructure,PLS,0.2746640452629897,1.0669722185853532,0.8504764515943876,0.2555956221276231,1.0809061004325864,0.8617109560356647,0.04181218651861729,1.211463295895076,0.9441565733736752,0.06933760643005371
Kennard-Stone,Substructure,KNN,0.5194228422212149,0.8684904973322224,0.6496279643317036,0.3594540204636638,1.0026714832765375,0.7688557022460784,0.25900315950213426,1.0653519797873496,0.8368356639801965,0.02685546875
Kennard-Stone,Substructure,SVR (RBF),0.5139349776561699,0.8734352067459604,0.6435475368334618,0.42556182604688886,0.9495222700860162,0.7293752022771207,0.17494110134384755,1.1241581555241011,0.8341115459745349,0.13594794273376465
Kennard-Stone,Substructure,Kernel Ridge (RBF),0.36661700231562155,0.9970494751402359,0.7941830131441673,0.3285748943339286,1.0265551751469673,0.8187185447234964,0.131589393673483,1.153313826791554,0.8891437255916244,3.459514856338501
Kennard-Stone,Substructure,Decision Tree,0.6983136920726623,0.6881154495062018,0.44889698049928156,0.34129704680598805,1.0167830876710708,0.7479077383738062,0.3403173824448952,1.005199952788357,0.7535320201702358,0.09407234191894531
Kennard-Stone,Substructure,Random Forest,0.6756088193556494,0.7135395133133603,0.5139524338691495,0.45504212808522204,0.9248365262881522,0.696744783650573,0.34753212460924254,0.9996880623825986,0.7558424246403663,4.158287763595581
Kennard-Stone,Substructure,Extra Trees,0.6983136920726623,0.6881154495062018,0.44889698049928417,0.3596538833921824,1.002515044472946,0.7402757383390092,0.34031738244489484,1.0051999527883573,0.7535320201702352,2.0806868076324463
