Split,Fingerprint,Model,Acc_train,BalAcc_train,F1_train,MCC_train,Acc_CV,BalAcc_CV,F1_CV,MCC_CV,Acc_test,BalAcc_test,F1_test,MCC_test,Time_s
Kennard-Stone,PubChem,Gradient Boosting,0.759018759018759,0.7369488528122261,0.7555829711522011,0.6271320922822488,0.6403318903318903,0.6116118292500466,0.6334544305849421,0.44193733395531704,0.5877192982456141,0.5876371120035837,0.5864038581019477,0.37916899338396665,39.35081505775452
Kennard-Stone,PubChem,XGBoost,0.8683261183261183,0.8577262589499869,0.8677859805045349,0.7974140318755798,0.6562049062049062,0.631531419667395,0.6515123734940996,0.46960364823104384,0.6290726817042607,0.6241087985727362,0.626414191843094,0.4383541966536688,4.804582595825195
Kennard-Stone,PubChem,Hist Gradient Boosting,0.8979076479076479,0.8904278747436142,0.8977650951305775,0.8432539618375602,0.6479076479076479,0.6264753911663904,0.6450346533333996,0.45895638252321974,0.6328320802005013,0.6226341343300408,0.6267586448618854,0.44404791419758893,46.21595478057861
Kennard-Stone,PubChem,AdaBoost,0.5732323232323232,0.5266159300867084,0.5462747734172846,0.3297511593292523,0.5436507936507936,0.49912187981528405,0.5191268791111082,0.2816363684989129,0.424812030075188,0.44026115030013663,0.39394350371612635,0.18135422674935153,6.6519293785095215
Kennard-Stone,PubChem,MLP,0.7276334776334776,0.7040893650189975,0.7256354021665908,0.5787767204520187,0.6280663780663781,0.5943225543992096,0.6168945664294242,0.42160967279617056,0.5401002506265664,0.5477132606762236,0.5311055852440563,0.32071396162139215,8.770962476730347
Kennard-Stone,Substructure,Ridge Classifier,0.522005772005772,0.5110979549605267,0.5189286561499452,0.2759822358288428,0.5054112554112554,0.49321259388645844,0.5038628043188592,0.24897404020930092,0.47619047619047616,0.4682234233891154,0.477381206059734,0.20598153599048957,0.04828810691833496
Kennard-Stone,Substructure,Logistic Reg (L1),0.5158730158730159,0.507553455921401,0.5157836151861078,0.26770640955351654,0.5036075036075036,0.49334479883090826,0.5040950956748378,0.24725793274516267,0.4774436090225564,0.4703747808036307,0.4794240414296971,0.20870602998328733,5.175867080688477
Kennard-Stone,Substructure,Logistic Reg (EN),0.516955266955267,0.5088065887534812,0.5166867954694417,0.26939101193992526,0.5036075036075036,0.49334479883090826,0.5040950956748378,0.24725793274516267,0.4774436090225564,0.4703747808036307,0.4794240414296971,0.20870602998328733,7.255166053771973
Kennard-Stone,Substructure,Naive Bayes,0.4715007215007215,0.456810065635437,0.4675282653705483,0.1907270016411425,0.4588744588744589,0.44338291533862567,0.4540748228723048,0.17127542321058528,0.39473684210526316,0.4158033324699992,0.36232921299194276,0.13246646395364745,0.02942514419555664
Kennard-Stone,Substructure,LDA,0.5407647907647908,0.5028375985902477,0.5229070367266281,0.2797661951676598,0.5274170274170275,0.4892433729528847,0.5096835593430059,0.2573408808794704,0.41604010025062654,0.4308832096356463,0.3986506860866022,0.14928428085616094,0.06090569496154785
Kennard-Stone,Substructure,KNN,0.6648629148629148,0.6472028386342372,0.6583295783786702,0.48940996488595007,0.5645743145743146,0.5420692866257634,0.5512604422612943,0.3354150750773647,0.5125313283208021,0.5019225233650185,0.4904757505594285,0.26500798004479553,0.16202473640441895
Kennard-Stone,Substructure,SVC (RBF),0.27236652236652237,0.32910920407475935,0.13022711696879521,-0.014920199014328077,0.2748917748917749,0.33206473990060753,0.12302896721751867,-0.008348719122054836,0.3132832080200501,0.33390732074942603,0.1753442016229195,-0.0030639347391279927,1.0491306781768799
Kennard-Stone,Substructure,SVC (Linear),0.2846320346320346,0.3078280632277476,0.27072520281558615,-0.044513585560030024,0.30844155844155846,0.3469227169144502,0.27491716439127917,0.02395352324966963,0.37468671679197996,0.3327915496531481,0.2723356632393061,0.0033373293195646785,0.6009390354156494
Kennard-Stone,Substructure,Decision Tree,0.7510822510822511,0.7518940284089711,0.7573704117584054,0.6312708531999064,0.5663780663780664,0.5572247473572657,0.5756547316563687,0.34843928398706414,0.5639097744360902,0.570305984536004,0.5707274941672303,0.35959303714268787,0.0631563663482666
Kennard-Stone,Substructure,Random Forest,0.7518037518037518,0.7500383406267822,0.7571471873487857,0.6286431885939314,0.5905483405483406,0.574975656874001,0.5956595160030641,0.3775301003860856,0.556390977443609,0.5611619266590027,0.563944405400113,0.34383069871045,4.452532529830933
Kennard-Stone,Substructure,Extra Trees,0.7510822510822511,0.7518940284089711,0.7573704117584054,0.6312708531999064,0.5797258297258298,0.5686046983236291,0.5883347045059152,0.3662512180868692,0.5639097744360902,0.570305984536004,0.5707274941672303,0.35959303714268787,4.934931516647339
Kennard-Stone,Substructure,Gradient Boosting,0.6536796536796536,0.6255964287277697,0.6459971800203359,0.4621971729837597,0.5833333333333334,0.5555370946513009,0.575115299101205,0.35335011078928025,0.5451127819548872,0.5470764885969565,0.5397298459633805,0.3168174766622219,11.367933750152588
Kennard-Stone,Substructure,XGBoost,0.7297979797979798,0.7082643326762669,0.7259772157431205,0.5821356867060273,0.5873015873015873,0.5598725315589466,0.5816196793280367,0.36031287788531785,0.5451127819548872,0.5505955130711467,0.5411603873188477,0.3246051329672632,2.126002550125122
Kennard-Stone,Substructure,Hist Gradient Boosting,0.7521645021645021,0.7323756888362715,0.7479709029437043,0.6176114466089372,0.588023088023088,0.5642087727648488,0.5862772700907727,0.3652623809362419,0.5213032581453634,0.520321927729335,0.5113106540393385,0.28802388477630175,16.656464099884033
Kennard-Stone,Substructure,AdaBoost,0.5346320346320347,0.489513024336041,0.5017027495010818,0.2682641525395364,0.5295815295815296,0.4898868278249024,0.5042081423731853,0.26174879625851327,0.4323308270676692,0.4433251933251934,0.40658403289777845,0.17673712541728231,3.7145133018493652
