Split,Fingerprint,Model,R2_train,RMSE_train,MAE_train,R2_CV,RMSE_CV,MAE_CV,R2_test,RMSE_test,MAE_test,Time_s
Random,CDK_Extended,Extra Trees,0.9026421200994569,0.3909934498342617,0.1704891601233205,0.2642655219669213,1.0748416380506391,0.7808771787257368,0.44195510819755734,0.9668515675158307,0.702130061642635,278.24418568611145
Random,CDK_Extended,Gradient Boosting,0.6997046051592175,0.6866861119297598,0.5285941347039121,0.5141284407618171,0.8734633097797558,0.6770251387556657,0.5896017944157512,0.8291401842804109,0.6420134864498579,66.74287581443787
Random,CDK_Extended,XGBoost,0.889932534952662,0.4157319574021713,0.24449184080524305,0.5348868599962353,0.8546006767792053,0.6445963009894995,0.659496709477335,0.755241582752937,0.5772858107595951,4.873717308044434
Random,CDK_Extended,Hist Gradient Boosting,0.8844302148096455,0.42599654902869644,0.26029183589316074,0.5416216260570059,0.8483908729983477,0.6416086255726058,0.6688459780306002,0.7448010052945384,0.5727623946543798,71.86100029945374
Random,CDK_Extended,AdaBoost,0.3411831108679898,1.0171061724724408,0.8470197700528701,0.2963404747341464,1.0511512555507805,0.8654892526300654,0.3410268629376503,1.0506524864275775,0.8637710973446885,17.34182620048523
Random,CDK_Extended,MLP,0.6896287215018133,0.698111336504853,0.537596312453605,0.48048413758356867,0.9031987630008882,0.6973207818139492,0.5463260893097657,0.8717604050847649,0.6766139426231984,38.07190203666687
Random,CDK_GraphOnly,Ridge,0.15150663500513983,1.1542719797974559,0.932920086392962,0.1451264128418076,1.1586036101135713,0.9358592086525499,0.1621320448580218,1.18471265492816,0.9446779886500472,0.027637243270874023
Random,CDK_GraphOnly,Lasso,0.03533902276931833,1.2307540773861503,1.0049832286607316,0.03414397346083131,1.231516187912502,1.0054414086191257,0.021916580224709215,1.2800094784167877,1.0199685057884398,0.02675032615661621
Random,CDK_GraphOnly,ElasticNet,0.05467140627316358,1.2183591383289223,0.9933098612707346,0.05433166913685983,1.2185780488033982,0.9935115999415157,0.037143572785886314,1.2700066762829145,1.011819042773294,0.029253244400024414
Random,CDK_GraphOnly,Bayesian Ridge,0.15137261077256525,1.1543631380281456,0.9332954941299232,0.1450095963887602,1.15868276763052,0.9363932882824394,0.16136049041909473,1.1852580033733169,0.945198093886171,0.05590987205505371
