molecule_chembl_id,molecule_pref_name,canonical_smiles,standard_type,standard_relation,standard_value,standard_units,pchembl_value,assay_chembl_id,assay_description,assay_type,target_chembl_id,target_pref_name,target_organism,document_chembl_id,document_journal,document_year,activity_id,inchi_key,bioactivity_class
CHEMBL1085936,,O=[N+]([O-])c1ccc(Cn2ccnc2)c(Sc2ccccc2)c1,IC50,=,5.59,nM,8.25,CHEMBL1118851,Inhibition of aromatase from human placental microsomes,B,CHEMBL1978,Aromatase,Homo sapiens,CHEMBL1155447,J Med Chem,2010,3302045,FOCINXPGESCYHX-UHFFFAOYSA-N,active
CHEMBL108646,,N#Cc1ccc(N(Cc2ccc(OS(N)(=O)=O)c(F)c2)n2cnnc2)cc1,IC50,=,12.0,nM,7.92,CHEMBL661702,In vitro inhibition of [1-beta-3H]-androstenedione binding to Cytochrome P450 19A1 of JEG-3 human placental carcinoma cells,B,CHEMBL1978,Aromatase,Homo sapiens,CHEMBL1136793,J Med Chem,2003,623322,OGRKPLYJRPUOMJ-UHFFFAOYSA-N,active
CHEMBL1088570,ASPERGILLUSOL A,O=C(OC[C@@H](O)[C@@H](O)COC(=O)/C(Cc1ccc(O)cc1)=N\O)/C(Cc1ccc(O)cc1)=N\O,IC50,>,100000.0,nM,,CHEMBL1102299,Inhibition of aromatase,B,CHEMBL1978,Aromatase,Homo sapiens,CHEMBL1154351,J Nat Prod,2009,3226629,BXRQJOBHKCDAJW-KMMADPOHSA-N,
CHEMBL109211,,C#CC[C@@H]1CC2C(CCC3(C)C(=O)CCC23)C2CCC(=O)C=C21,IC50,=,275.0,nM,6.56,CHEMBL663238,Inhibition of human placental microsome Cytochrome P450 19A1,B,CHEMBL1978,Aromatase,Homo sapiens,CHEMBL1130177,J Med Chem,1997,299356,ZDNIEANTSDNRKV-OYIOTATGSA-N,intermediate
CHEMBL109211,,C#CC[C@@H]1CC2C(CCC3(C)C(=O)CCC23)C2CCC(=O)C=C21,Ki,=,47.6,nM,7.32,CHEMBL660322,Binding affinity for human placental microsome Cytochrome P450 19A1 by nonlinear regression analysis,B,CHEMBL1978,Aromatase,Homo sapiens,CHEMBL1130177,J Med Chem,1997,299357,ZDNIEANTSDNRKV-OYIOTATGSA-N,active
CHEMBL1093458,ENDOXIFEN,CC/C(=C(\c1ccc(O)cc1)c1ccc(OCCNC)cc1)c1ccccc1,IC50,=,7366.666666666667,nM,5.215,CHEMBL2388440,Inhibition of human recombinant placental aromatase,B,CHEMBL1978,Aromatase,Homo sapiens,CHEMBL2385050,J Med Chem,2013,13319670,MHJBZVSGOZTKRH-IZHYLOQSSA-N,inactive
CHEMBL109347,,O=C(NCc1cccnc1)C12CC3CC(CC(C3)C1)C2,IC50,=,3199.45,nM,5.5,CHEMBL664249,Inhibition of Cytochrome P450 19A1 in Human placental microsomes,B,CHEMBL1978,Aromatase,Homo sapiens,CHEMBL1129610,J Med Chem,1996,1176296,SIOCWTZRIYXTEE-UHFFFAOYSA-N,inactive
CHEMBL1094149,,COc1cc(C(=O)N(C)C)cc(C=O)c1C(=O)c1c(C)cccc1O,IC50,=,17.2,nM,7.76,CHEMBL1105634,Inhibition of human placental microsome CYP19,B,CHEMBL1978,Aromatase,Homo sapiens,CHEMBL1157768,Bioorg Med Chem Lett,2010,3290721,ZHESVBGIZQSOLH-UHFFFAOYSA-N,active
CHEMBL1094154,,O=C1OC[C@H](Cc2ccccc2)[C@H]1Cc1cccc(O)c1,IC50,=,6.0,nM,8.22,CHEMBL1105634,Inhibition of human placental microsome CYP19,B,CHEMBL1978,Aromatase,Homo sapiens,CHEMBL1157768,Bioorg Med Chem Lett,2010,3290724,RLFABAIDHKVKQV-DOTOQJQBSA-N,active
CHEMBL1094331,,COc1ccc(C2=C(c3cc(OC)c(OC)c(OC)c3)COC2=O)cc1OC,IC50,=,13.7,nM,7.86,CHEMBL1105634,Inhibition of human placental microsome CYP19,B,CHEMBL1978,Aromatase,Homo sapiens,CHEMBL1157768,Bioorg Med Chem Lett,2010,3290720,NSERFLUCMWRPGI-UHFFFAOYSA-N,active
