molecule_chembl_id,pchembl_value,activity_class
CHEMBL1688895,6.85,Active
CHEMBL1688896,6.57,Active
CHEMBL1688897,6.75,Active
CHEMBL1688898,6.9,Active
CHEMBL1688899,6.32,Intermediate
CHEMBL1688900,6.77,Active
CHEMBL1688901,6.78,Active
CHEMBL1688902,7.14,Active
CHEMBL1688903,7.14,Active
CHEMBL1688904,6.54,Active
CHEMBL1688905,6.16,Intermediate
CHEMBL1688906,6.95,Active
CHEMBL1688907,6.79,Active
CHEMBL1688908,6.53,Active
CHEMBL1688909,7.09,Active
CHEMBL1688910,7.16,Active
CHEMBL1688911,7.33,Active
CHEMBL1688912,6.98,Active
CHEMBL1688913,5.43,Intermediate
CHEMBL1688914,6.34,Intermediate
CHEMBL1688915,7.17,Active
CHEMBL1688916,6.5,Active
CHEMBL1688917,6.27,Intermediate
CHEMBL1688918,5.4,Intermediate
CHEMBL1688919,6.5,Active
CHEMBL1689257,4.51,Inactive
CHEMBL1689258,4.49,Inactive
CHEMBL1689259,4.57,Inactive
CHEMBL169,4.5,Inactive
CHEMBL169086,5.96,Intermediate
CHEMBL169251,6.77,Active
CHEMBL172263,5.5,Intermediate
CHEMBL1728910,5.3,Intermediate
CHEMBL174308,6.7,Active
CHEMBL174407,6.38,Intermediate
CHEMBL174407,7.3,Active
CHEMBL174579,7.0,Active
CHEMBL174909,7.206666666666667,Active
CHEMBL174909,8.82,Active
CHEMBL175091,7.82,Active
CHEMBL175144,6.92,Active
CHEMBL175550,5.41,Intermediate
CHEMBL175554,5.26,Intermediate
CHEMBL175609,5.43,Intermediate
CHEMBL175688,7.41,Active
CHEMBL175791,5.01,Intermediate
CHEMBL175799,5.7,Intermediate
CHEMBL175962,5.17,Intermediate
CHEMBL175979,6.1,Intermediate
CHEMBL176009,4.9,Inactive
CHEMBL176076,6.75,Active
CHEMBL176098,5.4,Intermediate
CHEMBL176101,5.25,Intermediate
CHEMBL176118,5.13,Intermediate
CHEMBL176287,6.89,Active
CHEMBL176452,6.1066666666666665,Intermediate
CHEMBL176539,5.7,Intermediate
CHEMBL176609,5.37,Intermediate
CHEMBL176886,5.12,Intermediate
CHEMBL177274,6.09,Intermediate
CHEMBL177293,7.57,Active
CHEMBL177413,6.01,Intermediate
CHEMBL177468,6.02,Intermediate
CHEMBL177692,6.48,Intermediate
CHEMBL177921,6.92,Active
CHEMBL178036,6.89,Active
CHEMBL1783176,7.44,Active
CHEMBL1783177,7.5,Active
CHEMBL1783178,6.949999999999999,Active
CHEMBL1784788,6.36,Intermediate
CHEMBL1784789,6.92,Active
CHEMBL1784790,4.66,Inactive
CHEMBL1784791,7.23,Active
CHEMBL1784792,5.24,Intermediate
CHEMBL1784793,6.0,Intermediate
CHEMBL1784794,4.97,Inactive
CHEMBL1784796,5.46,Intermediate
CHEMBL1784797,5.51,Intermediate
CHEMBL1784798,6.61,Active
CHEMBL1784800,5.51,Intermediate
CHEMBL1784801,8.04,Active
CHEMBL1784803,6.3,Intermediate
CHEMBL1784804,7.1,Active
CHEMBL1784805,7.18,Active
CHEMBL1784806,6.12,Intermediate
CHEMBL1784807,7.21,Active
CHEMBL1784808,6.36,Intermediate
CHEMBL1784809,7.0,Active
CHEMBL1784810,4.88,Inactive
CHEMBL1784811,7.46,Active
CHEMBL1784812,7.33,Active
CHEMBL1784813,6.3,Intermediate
CHEMBL179144,6.1,Intermediate
CHEMBL179149,4.89,Inactive
CHEMBL179222,5.4350000000000005,Intermediate
CHEMBL179247,7.7,Active
CHEMBL1824742,5.33,Intermediate
CHEMBL1824743,5.29,Intermediate
CHEMBL1824744,4.97,Inactive
CHEMBL1824745,4.79,Inactive
CHEMBL1824746,4.71,Inactive
CHEMBL1824747,4.99,Inactive
CHEMBL1824748,4.96,Inactive
CHEMBL1824749,4.79,Inactive
CHEMBL1824750,5.33,Intermediate
CHEMBL1824751,5.11,Intermediate
CHEMBL1824752,4.96,Inactive
CHEMBL1824753,4.92,Inactive
CHEMBL1824754,4.88,Inactive
CHEMBL1824755,5.34,Intermediate
CHEMBL1824756,4.96,Inactive
CHEMBL1824757,4.83,Inactive
CHEMBL1824758,4.71,Inactive
CHEMBL1824759,4.87,Inactive
CHEMBL1824760,4.86,Inactive
CHEMBL1824761,4.89,Inactive
CHEMBL1824762,4.5,Inactive
CHEMBL1824763,4.87,Inactive
CHEMBL1824764,4.79,Inactive
CHEMBL1824765,4.93,Inactive
CHEMBL1824766,4.57,Inactive
CHEMBL1824767,4.82,Inactive
CHEMBL1824768,4.81,Inactive
CHEMBL1824769,7.0,Active
CHEMBL1825017,4.91,Inactive
CHEMBL1825018,4.92,Inactive
CHEMBL1825019,4.79,Inactive
CHEMBL1825020,6.82,Active
CHEMBL1825021,5.39,Intermediate
CHEMBL1825022,4.1,Inactive
CHEMBL1825023,4.92,Inactive
CHEMBL1825024,5.96,Intermediate
CHEMBL1825025,5.36,Intermediate
CHEMBL1825026,5.28,Intermediate
CHEMBL1825027,5.51,Intermediate
CHEMBL1825028,5.1,Intermediate
CHEMBL1825029,4.97,Inactive
CHEMBL1825030,5.47,Intermediate
CHEMBL1825031,5.21,Intermediate
CHEMBL1825032,5.41,Intermediate
CHEMBL1825033,5.04,Intermediate
CHEMBL1825034,5.25,Intermediate
CHEMBL1825035,5.38,Intermediate
CHEMBL1825036,5.63,Intermediate
CHEMBL1825037,4.94,Inactive
CHEMBL1825038,4.9,Inactive
CHEMBL1825039,5.13,Intermediate
CHEMBL1825040,5.02,Intermediate
CHEMBL1825041,5.19,Intermediate
CHEMBL1825042,5.1,Intermediate
CHEMBL1825043,5.01,Intermediate
CHEMBL1825044,5.3,Intermediate
CHEMBL1825045,5.87,Intermediate
CHEMBL1825046,5.56,Intermediate
CHEMBL1825047,5.64,Intermediate
CHEMBL1825048,4.76,Inactive
CHEMBL1825049,4.97,Inactive
CHEMBL1835539,4.58,Inactive
CHEMBL1835542,4.82,Inactive
CHEMBL1835547,4.96,Inactive
CHEMBL184051,5.52,Intermediate
CHEMBL184051,5.94,Intermediate
CHEMBL184749,6.21,Intermediate
CHEMBL184952,4.5,Inactive
CHEMBL185,6.2,Intermediate
CHEMBL185165,5.85,Intermediate
CHEMBL185809,5.8,Intermediate
CHEMBL185809,6.05,Intermediate
CHEMBL185819,5.04,Intermediate
CHEMBL185950,6.55,Active
CHEMBL185950,6.51,Active
CHEMBL186079,6.28,Intermediate
CHEMBL187068,6.66,Active
CHEMBL187068,6.58,Active
CHEMBL187185,6.37,Intermediate
CHEMBL188664,6.68,Active
CHEMBL188664,6.66,Active
CHEMBL189051,5.62,Intermediate
CHEMBL189051,7.0,Active
CHEMBL189274,5.33,Intermediate
CHEMBL189274,5.36,Intermediate
CHEMBL189472,5.7,Intermediate
CHEMBL189472,5.74,Intermediate
CHEMBL190099,4.75,Inactive
CHEMBL1915151,4.35,Inactive
CHEMBL1915152,4.19,Inactive
CHEMBL1915156,4.2,Inactive
CHEMBL1915159,4.17,Inactive
CHEMBL1915161,4.23,Inactive
CHEMBL1915167,4.33,Inactive
CHEMBL1915176,4.14,Inactive
CHEMBL1915401,4.24,Inactive
CHEMBL1915403,4.98,Inactive
CHEMBL192077,5.77,Intermediate
CHEMBL192155,5.36,Intermediate
CHEMBL192306,6.11,Intermediate
CHEMBL192306,6.17,Intermediate
CHEMBL193343,5.18,Intermediate
CHEMBL1933690,6.1,Intermediate
CHEMBL1933692,6.0,Intermediate
CHEMBL1933693,7.0,Active
CHEMBL1933694,7.21,Active
CHEMBL1933699,7.1,Active
CHEMBL1933700,7.3,Active
CHEMBL1933701,6.6,Active
CHEMBL193496,6.0,Intermediate
CHEMBL193555,5.39,Intermediate
CHEMBL193606,5.18,Intermediate
CHEMBL193652,5.39,Intermediate
CHEMBL193858,5.55,Intermediate
CHEMBL1939366,6.66,Active
CHEMBL1939552,4.58,Inactive
CHEMBL193997,5.59,Intermediate
CHEMBL194440,5.11,Intermediate
CHEMBL194472,6.89,Active
CHEMBL194641,6.65,Active
CHEMBL194641,7.3,Active
CHEMBL194928,5.32,Intermediate
CHEMBL195248,5.13,Intermediate
CHEMBL195354,5.32,Intermediate
CHEMBL1955869,7.03,Active
CHEMBL1956171,6.54,Active
CHEMBL1956175,6.01,Intermediate
CHEMBL1956179,6.52,Active
CHEMBL1956180,6.64,Active
CHEMBL1956183,6.28,Intermediate
CHEMBL1956186,7.23,Active
CHEMBL1956188,6.94,Active
CHEMBL195688,5.43,Intermediate
CHEMBL1957208,5.17,Intermediate
CHEMBL1957208,5.94,Intermediate
CHEMBL1957209,4.83,Inactive
CHEMBL1957209,5.27,Intermediate
CHEMBL1957210,4.75,Inactive
CHEMBL1957210,4.9,Inactive
CHEMBL1957211,5.62,Intermediate
CHEMBL1957211,6.63,Active
CHEMBL1957212,5.1,Intermediate
CHEMBL1957212,5.76,Intermediate
CHEMBL1957213,4.75,Inactive
CHEMBL1957213,4.82,Inactive
CHEMBL1957214,8.4,Active
CHEMBL1957214,10.22,Active
CHEMBL1957215,4.95,Inactive
CHEMBL1957215,5.59,Intermediate
CHEMBL1957216,6.79,Active
CHEMBL1957216,8.09,Active
CHEMBL1957217,7.64,Active
CHEMBL1957217,9.19,Active
CHEMBL1957218,7.11,Active
CHEMBL1957218,8.5,Active
CHEMBL1957219,5.57,Intermediate
CHEMBL1957219,6.54,Active
CHEMBL1957220,5.13,Intermediate
CHEMBL1957220,5.83,Intermediate
CHEMBL1957221,5.98,Intermediate
CHEMBL1957221,7.08,Active
CHEMBL1957222,5.87,Intermediate
CHEMBL1957222,7.0,Active
CHEMBL1957223,6.23,Intermediate
CHEMBL1957223,7.45,Active
CHEMBL195996,5.55,Intermediate
CHEMBL196328,5.04,Intermediate
CHEMBL197451,5.73,Intermediate
CHEMBL197451,6.18,Intermediate
CHEMBL197576,5.74,Intermediate
CHEMBL197650,8.98,Active
CHEMBL198291,8.146666666666667,Active
CHEMBL1991089,4.02,Inactive
CHEMBL199334,6.22,Intermediate
CHEMBL1997104,6.93,Active
CHEMBL1997442,7.0,Active
CHEMBL2003274,5.28,Intermediate
CHEMBL2011171,4.54,Inactive
CHEMBL2011172,4.36,Inactive
CHEMBL2011173,4.75,Inactive
CHEMBL2011174,4.7,Inactive
CHEMBL2011175,4.39,Inactive
CHEMBL2011176,4.7,Inactive
CHEMBL2011177,5.195,Intermediate
CHEMBL2011180,6.58,Active
CHEMBL2011181,4.01,Inactive
CHEMBL2011182,4.0,Inactive
CHEMBL2011183,4.62,Inactive
CHEMBL2011184,4.96,Inactive
CHEMBL2011185,4.52,Inactive
CHEMBL2011186,4.800000000000001,Inactive
CHEMBL2011187,4.5,Inactive
CHEMBL2011188,5.29,Intermediate
CHEMBL2011189,4.54,Inactive
CHEMBL2011190,4.21,Inactive
CHEMBL201831,7.0,Active
CHEMBL202020,6.8,Active
CHEMBL202030,6.64,Active
CHEMBL202065,6.89,Active
CHEMBL202226,8.475,Active
CHEMBL202231,7.22,Active
CHEMBL202452,5.35,Intermediate
CHEMBL202469,6.04,Intermediate
CHEMBL202470,5.4,Intermediate
CHEMBL202471,5.57,Intermediate
CHEMBL202473,6.36,Intermediate
CHEMBL202474,6.52,Active
CHEMBL202612,7.9866666666666655,Active
CHEMBL203869,5.55,Intermediate
CHEMBL203981,7.58,Active
CHEMBL204039,7.739999999999999,Active
CHEMBL204183,6.33,Intermediate
CHEMBL204184,5.6,Intermediate
