molecule_chembl_id,pchembl_value,activity_class
CHEMBL1915151,4.35,Inactive
CHEMBL196328,5.04,Intermediate
CHEMBL369603,5.34,Intermediate
CHEMBL1825041,5.19,Intermediate
CHEMBL4167841,5.01,Intermediate
CHEMBL598847,6.68,Active
CHEMBL5405156,6.29,Intermediate
CHEMBL3752315,6.81,Active
CHEMBL5417855,6.07,Intermediate
CHEMBL1957209,5.27,Intermediate
CHEMBL5565514,6.5,Active
CHEMBL371663,6.25,Intermediate
CHEMBL1165711,4.39,Inactive
CHEMBL271129,6.16,Intermediate
CHEMBL390078,8.55,Active
CHEMBL5434794,5.39,Intermediate
CHEMBL9687,4.595,Inactive
CHEMBL323197,4.68,Inactive
CHEMBL5416003,7.62,Active
CHEMBL1825027,5.51,Intermediate
CHEMBL5417830,5.37,Intermediate
CHEMBL308537,9.89,Active
CHEMBL2011187,4.5,Inactive
CHEMBL335215,7.38,Active
CHEMBL3359957,6.35,Intermediate
CHEMBL104126,5.01,Intermediate
CHEMBL3754469,6.03,Intermediate
CHEMBL3752414,6.366666666666667,Intermediate
CHEMBL3754222,7.6,Active
CHEMBL4087613,5.51,Intermediate
CHEMBL3754701,6.66,Active
CHEMBL3422036,6.84,Active
CHEMBL2430499,5.34,Intermediate
CHEMBL1629801,4.52,Inactive
CHEMBL3754184,7.85,Active
CHEMBL5269737,5.0,Intermediate
CHEMBL65328,6.23,Intermediate
CHEMBL451168,5.02,Intermediate
CHEMBL2333329,5.96,Intermediate
CHEMBL1825022,4.1,Inactive
CHEMBL3623213,6.75,Active
CHEMBL197451,6.18,Intermediate
CHEMBL4224875,5.58,Intermediate
CHEMBL4289930,6.46,Intermediate
CHEMBL3752500,5.36,Intermediate
CHEMBL4161492,7.01,Active
CHEMBL2443350,6.48,Intermediate
CHEMBL5555946,6.1,Intermediate
CHEMBL363621,5.45,Intermediate
CHEMBL3752063,7.92,Active
CHEMBL3264682,4.9,Inactive
CHEMBL5266502,7.22,Active
CHEMBL492762,5.41,Intermediate
CHEMBL333185,5.06,Intermediate
CHEMBL334958,6.7,Active
CHEMBL3754567,7.62,Active
CHEMBL3753196,8.3,Active
CHEMBL5288833,5.85,Intermediate
CHEMBL267668,6.85,Active
CHEMBL189274,5.36,Intermediate
CHEMBL491214,5.82,Intermediate
CHEMBL270917,6.6,Active
CHEMBL5439256,6.02,Intermediate
CHEMBL3422052,6.31,Intermediate
CHEMBL351271,6.01,Intermediate
CHEMBL3961452,6.54,Active
CHEMBL266788,5.85,Intermediate
CHEMBL5284841,6.47,Intermediate
CHEMBL275638,5.806666666666668,Intermediate
CHEMBL3806159,7.37,Active
CHEMBL310735,8.51,Active
