molecule_chembl_id,CDKGraph_41,CDKGraph_104,CDKGraph_189,CDKGraph_264,CDKGraph_303,CDKGraph_497,CDKGraph_806,CDKGraph_977,CDKGraph_1017
CHEMBL137049,0,0,1,1,1,0,0,1,1
CHEMBL1371590,0,0,0,1,1,1,1,1,1
CHEMBL137373,0,0,0,1,1,0,0,0,0
CHEMBL137396,0,0,1,1,1,0,0,1,1
CHEMBL137589,0,0,1,1,1,0,0,1,1
CHEMBL137604,0,0,1,1,1,0,0,1,1
CHEMBL13784,0,0,0,0,1,0,0,0,0
CHEMBL138538,0,0,1,1,0,0,0,1,1
CHEMBL1389987,0,0,0,0,1,0,0,0,0
CHEMBL1394757,0,0,1,1,0,0,0,1,1
CHEMBL1397,1,1,1,1,1,1,1,1,1
CHEMBL1399,0,0,0,0,1,0,0,1,1
CHEMBL1399,0,0,0,0,1,0,0,1,1
CHEMBL1405,1,1,1,1,1,1,1,1,1
CHEMBL1405,1,1,1,1,1,1,1,1,1
CHEMBL14192,0,0,0,0,1,0,0,0,0
CHEMBL1424243,0,0,0,0,1,1,1,0,0
CHEMBL1430816,0,0,0,0,0,0,0,0,0
CHEMBL1444,0,0,0,1,1,0,0,0,0
CHEMBL1444,0,0,0,1,1,0,0,0,0
CHEMBL1454842,0,0,0,0,1,0,1,0,0
CHEMBL14563,0,0,0,1,1,1,1,0,0
CHEMBL1485809,0,0,0,0,1,0,0,0,0
CHEMBL148903,0,0,0,1,1,1,1,0,0
CHEMBL148903,0,0,0,1,1,1,1,0,0
CHEMBL149238,1,1,1,1,1,1,1,1,1
CHEMBL149238,1,1,1,1,1,1,1,1,1
CHEMBL149750,0,0,0,0,1,0,0,0,0
CHEMBL149791,0,0,0,1,0,0,0,0,0
CHEMBL149791,0,0,0,1,0,0,0,0,0
CHEMBL150146,0,0,0,0,0,0,0,0,0
CHEMBL150278,0,0,0,0,1,0,0,0,0
CHEMBL150653,0,0,0,0,0,0,0,0,0
CHEMBL150681,0,0,0,0,1,0,0,0,0
CHEMBL150799,0,0,0,1,1,0,0,0,0
CHEMBL150999,0,0,0,0,1,0,0,0,0
CHEMBL151,0,0,0,1,0,0,0,0,0
CHEMBL151037,0,0,0,1,1,1,0,0,0
CHEMBL151038,0,0,0,1,1,1,0,0,0
CHEMBL151096,0,0,0,0,1,0,0,0,0
CHEMBL151207,0,0,0,0,1,0,1,0,0
CHEMBL151212,1,1,1,1,1,1,1,1,1
CHEMBL151212,1,1,1,1,1,1,1,1,1
CHEMBL151449,0,0,0,0,1,0,0,0,0
CHEMBL151646,0,0,0,0,0,0,0,0,0
CHEMBL151691,1,1,1,1,1,1,1,1,1
CHEMBL151691,1,1,1,1,1,1,1,1,1
CHEMBL1521315,0,0,0,1,1,0,0,0,0
CHEMBL152237,1,1,1,1,1,1,1,1,1
CHEMBL1538978,0,1,0,1,1,0,0,1,1
CHEMBL154104,1,1,1,1,1,1,1,1,1
CHEMBL154918,1,1,1,1,1,1,1,1,1
CHEMBL15594,0,0,0,0,0,0,0,0,0
CHEMBL1571,0,1,1,1,0,0,0,1,1
CHEMBL157101,1,1,1,1,1,0,1,1,1
CHEMBL157101,1,1,1,1,1,0,1,1,1
CHEMBL157925,0,0,0,1,1,0,0,0,0
CHEMBL158325,0,1,1,1,0,0,0,1,1
CHEMBL158326,0,1,1,1,0,0,0,1,1
CHEMBL158397,0,1,1,1,0,0,0,1,1
CHEMBL158600,0,1,1,1,0,0,0,1,1
CHEMBL158635,0,0,0,1,1,0,0,0,0
CHEMBL158717,0,1,1,1,0,0,0,1,1
CHEMBL158984,0,0,0,1,1,0,0,0,0
CHEMBL159073,0,0,0,1,1,0,0,0,0
CHEMBL1601919,0,0,0,0,1,0,1,0,0
CHEMBL1601919,0,0,0,0,1,0,1,0,0
CHEMBL160271,0,1,1,1,0,0,0,1,1
CHEMBL161230,0,0,0,1,1,0,0,0,0
CHEMBL161530,0,0,0,1,1,0,0,0,0
CHEMBL162431,0,0,0,0,1,0,0,0,0
CHEMBL162496,0,0,0,0,1,1,0,0,0
CHEMBL162549,0,0,0,0,1,0,0,0,0
CHEMBL162585,0,0,0,1,1,1,1,0,0
CHEMBL1627334,1,1,1,1,1,1,1,1,1
CHEMBL1627334,1,1,1,1,1,1,1,1,1
CHEMBL1627337,1,1,1,1,1,1,1,1,1
CHEMBL1627841,1,1,1,1,1,1,1,1,1
CHEMBL1628064,1,1,1,1,1,1,1,1,1
CHEMBL1628064,1,1,1,1,1,1,1,1,1
CHEMBL162834,0,0,0,1,1,1,0,0,0
CHEMBL1629800,1,1,1,1,1,1,1,1,1
CHEMBL1629800,1,1,1,1,1,1,1,1,1
CHEMBL1629800,1,1,1,1,1,1,1,1,1
CHEMBL1629801,1,1,1,1,1,1,1,1,1
CHEMBL1629801,1,1,1,1,1,1,1,1,1
CHEMBL1629802,1,1,1,1,1,1,1,1,1
CHEMBL1629802,1,1,1,1,1,1,1,1,1
CHEMBL1629802,1,1,1,1,1,1,1,1,1
CHEMBL1629803,1,1,1,1,1,1,1,1,1
CHEMBL1629803,1,1,1,1,1,1,1,1,1
CHEMBL1629804,1,1,1,1,1,1,1,1,1
CHEMBL1629804,1,1,1,1,1,1,1,1,1
CHEMBL1629804,1,1,1,1,1,1,1,1,1
CHEMBL1629805,1,1,1,1,1,1,1,1,1
CHEMBL1629805,1,1,1,1,1,1,1,1,1
CHEMBL1629805,1,1,1,1,1,1,1,1,1
CHEMBL1629806,1,1,1,1,1,1,1,1,1
CHEMBL1629806,1,1,1,1,1,1,1,1,1
CHEMBL1629806,1,1,1,1,1,1,1,1,1
CHEMBL1630260,1,1,1,1,1,1,1,1,1
CHEMBL1630260,1,1,1,1,1,1,1,1,1
CHEMBL1630261,1,1,1,1,1,1,1,1,1
CHEMBL1630261,1,1,1,1,1,1,1,1,1
CHEMBL1630261,1,1,1,1,1,1,1,1,1
CHEMBL1630262,1,1,1,1,1,1,1,1,1
CHEMBL1630262,1,1,1,1,1,1,1,1,1
CHEMBL1630263,1,1,1,1,1,1,1,1,1
