molecule_chembl_id,EStateC_6,EStateC_8,EStateC_10,EStateC_11,EStateC_12,EStateC_14,EStateC_15,EStateC_16,EStateC_17,EStateC_18,EStateC_20,EStateC_23,EStateC_24,EStateC_25,EStateC_28,EStateC_29,EStateC_31,EStateC_33,EStateC_34,EStateC_35,EStateC_36,EStateC_37,EStateC_52,EStateC_53,EStateC_69
CHEMBL5283480,7.252529516697761,15.515636806592344,2.656682649911817,0.0,3.172597579155118,0.0,2.442267434879268,0.0,0.0,0.4785666650919629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.648386014338396,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL5283592,2.035527499580079,5.505236126858151,1.7900703892668175,0.0,0.1473882222642134,0.0,1.3609014786470155,0.0,0.0,-0.641190909234064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.359943209147755,24.275457316803365,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL5283697,2.021203939909297,4.893696315717644,1.5351351095993953,0.0,-0.0882142857142866,0.0,0.92556075207861,0.0,0.0,-0.9182846749811036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.205292501259764,37.59227700879735,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL5283707,8.07114830183469,5.479901264915869,5.897444139551962,8.149792192153233,1.9737815235776983,0.0,2.725535105298537,1.957022390472899,0.0,0.032740979500123,0.0,0.0,0.0,0.0,0.0,1.743927279889356,0.0,0.0,24.71953982178647,5.364231418774332,0.0,0.0,0.0,0.0,0.0
CHEMBL5283822,1.7705920303137452,0.3135790766851198,0.0,21.87383240654933,0.0,5.666818947984415,0.0,3.3036252996116406,1.4951271573444198,-1.4834458039605494,0.0,0.0,0.0,0.0,4.185389340192107,0.0,0.0,11.861280825805988,0.0,5.620515187824441,6.113695790816326,0.0,0.0,0.0,3.44565640749969
CHEMBL5283868,6.686047431579764,7.770735894838754,5.750128653313177,0.0,1.551026811959351,0.0,1.7613384514031625,0.0,0.0,-0.2206459041950113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.710400926784857,6.324301067649282,0.0,0.0,0.0,0.0,0.0
CHEMBL5283920,6.825205078945158,5.187940339716133,5.845357457797934,0.0,2.256742724867724,0.0,1.9936135650247768,0.0,0.0,-0.0318692916981606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.256343458679765,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL5283967,4.54911541005291,7.886736754115227,0.0,0.0,1.8755607520786084,0.0,0.8702862811791392,0.0,0.0,-0.4754484363189717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.06005616444108,6.15035974111867,0.0,0.0,0.0,0.0,0.0
CHEMBL5283978,6.7803900132981365,9.212693733569836,0.0,8.544825003257474,3.780971084741376,0.0,1.960741723655616,2.23477854200576,0.0,0.6240454905020548,0.0,3.5099436183321915,0.0,0.0,0.0,0.0,0.0,0.0,12.1668509750764,5.360105869118791,0.0,0.0,0.0,0.0,0.0
CHEMBL5284015,9.322340456244229,7.097212669018224,2.025784123834719,0.0,3.0426336923658344,0.0,2.3227355888343,0.0,0.0,0.1423521746661629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.7136079617032,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL5284085,2.2457358329134123,9.424976784664484,1.992048938649534,0.0,2.0319871315192737,0.0,2.3172017641933325,0.0,0.0,0.2397695027084908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.311592576845552,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL5284111,4.545549716028386,10.802279751406736,2.016848938649534,0.0,2.0539687263794404,0.0,2.3586102056563374,0.0,0.0,0.2627177028218697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.46002495905769,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL5284198,4.6175440205671086,7.914771723810619,4.327397408037289,10.467492124522977,1.7494421155744202,0.0,3.0746560629922586,1.292177116280652,0.0,-0.084425030779613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.474277792327623,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL5284435,2.06175603111615,7.732584679705215,3.5567979969765684,0.0,0.3194930765516071,0.0,1.4347789378096922,0.0,0.0,-0.5975905848450491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.10737504724112,24.55147148211136,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL5284524,5.73717173983791,4.27863998068363,5.360281399596875,0.0,0.7688411753590322,0.0,1.013666160136896,0.0,0.0,-0.4745740819475939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.16278366979508,5.653189956538171,0.0,0.0,0.0,0.0,0.0
CHEMBL5284594,2.229248446292097,5.045238305198623,0.0,16.666290933409893,1.9412070105820096,0.0,0.4941797891996307,4.397131138720922,0.0,-0.1003699373267825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.13027397571364,12.613467004876636,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL5284663,6.420622733922924,7.072345321016632,1.7889048721340388,0.0,0.9969102208784746,0.0,1.4774266243266527,0.0,0.0,-0.2756313775510202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.09178720428969,5.927634400982615,0.0,0.0,0.0,0.0,0.0
CHEMBL5284734,4.603218801107996,8.310291426114318,5.915428056386126,8.240918617651122,2.191274863837995,0.0,1.9790119268097377,2.151319243756772,0.0,-0.1377451478946332,5.837687384543272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.075261494353967,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL5284738,4.7335755752918445,10.507184986749053,2.0560590671453767,10.77748701369778,2.400107731874506,0.0,2.336626064749452,1.4113694248105326,0.0,0.096256907657972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.18133322802348,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL5284742,2.229248446292097,5.045238305198623,0.0,16.666290933409893,1.9412070105820096,0.0,0.4941797891996307,4.397131138720922,0.0,-0.1003699373267825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.13027397571364,12.613467004876636,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL5284759,6.971274237318385,9.556824032081968,2.035367457168052,0.0,2.554346655328797,0.0,2.358150077160495,0.0,0.0,0.170263999118166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.68710687515747,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL5284760,2.064162926589476,2.346123827141386,0.0,20.452549963169275,0.0,0.0,0.0180765253632322,3.219887909058635,0.0,0.0,0.0,0.0,0.0,0.0,4.037072264252497,0.0,1.9756478645027595,0.0,12.666335900100782,5.553476153155293,0.0,0.0,0.0,0.0,0.0
CHEMBL5284841,4.622490210590409,7.05506269864174,0.0,10.323772814075117,1.5676888968014502,0.0,0.7391814494301079,4.446415694861764,0.0,-0.1127486667940307,0.0,0.0,0.0,0.0,5.060756330309902,0.0,1.9961039462081127,0.0,25.80127662587543,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL5284912,6.916155492332578,13.01878096881073,6.0449746192860365,0.0,2.33317895573442,0.0,2.121471959578664,0.0,0.0,-0.0451387174283548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.943910055019256,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL5284938,4.614752797724028,7.264375640292849,5.975859630889393,10.702549763933172,2.1266779520450143,0.0,2.0232197951175683,1.374195601851852,0.0,-0.1229428041495137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.04131162229564,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL5285274,4.436797214613322,6.676806515499742,4.0247198963888176,5.239611284169399,1.4003326897623225,0.0,2.477919862951586,0.1511908723242524,0.0,-4.6752689088310255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.52466142637943,0.0,0.0,38.49322914674215,0.0,0.0,0.0
CHEMBL5285355,3.942473754934072,4.86431190686151,0.0,5.73790375409423,1.5952990362811783,0.0,0.4735369425548001,2.8008494871714125,0.0,-0.1032929815444696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.823332680677108,12.381770462431987,5.73381495653817,0.0,0.0,0.0,0.0,0.0
CHEMBL5285390,2.3287854833291344,5.540701268161585,0.0,16.79876295269919,2.0379485281767016,0.0,0.0,4.485769229759807,0.0,0.094074507117662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.79729136408925,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL5285403,7.108308584236164,7.63190245233896,2.0016714695137314,0.0,2.619822084698076,0.0,1.79338874979004,0.0,0.0,0.3968911013479466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.515112253617394,11.932903304457689,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL5285526,7.451477308515999,10.452181424267238,2.5988936917359533,0.0,3.291922687284789,0.0,1.8029152494331069,0.0,0.0,0.7108995890022676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.52504338309398,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL5285636,1.6075458746400304,0.6981473625313812,0.0,20.227397378136985,0.0,0.0,0.0093835034013609,3.1445677285810767,0.0,0.0,0.0,0.0,0.0,0.0,4.023948327177667,0.0,1.9692170623988805,0.0,12.54062216553288,5.112503930933071,0.0,0.0,0.0,0.0,0.0
CHEMBL5285644,4.458741024247133,6.379164206122749,2.063949062228179,10.011503379961614,0.8611420421668848,0.0,-0.8243783682800049,1.062077055231592,0.0,-5.225225220495679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.89005830328358,4.839830436638108,0.0,38.06647141222918,0.0,0.0,0.0
CHEMBL5285647,6.902620397214033,11.618257702427975,6.029669548374905,0.0,2.334904651675485,0.0,2.1140296712183,0.0,0.0,-0.0427354550061529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.876586817428787,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL5285796,2.195952669648106,7.341602549970605,1.854348938649533,0.0,1.5734537981859409,3.137306547619048,1.946585267594693,0.0,0.0,-0.2852645108969507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.20661257558579,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL5285807,4.494748748895436,6.227948561688605,0.0,6.657674314665362,1.2653379401449385,0.0,0.5307156243082651,3.7096143025111297,0.0,-0.3168301157316302,0.0,0.0,0.0,0.0,4.814032108213656,0.0,1.934657029478458,0.0,36.97490049688608,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL5285813,4.528598518468197,7.89797872512433,1.907481612186248,5.332982410397669,1.4656686659737943,0.0,1.933025381239148,0.2066394267460215,0.0,-4.481159088977159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.60487618975392,0.0,0.0,38.52057482575451,0.0,0.0,0.0
CHEMBL5285831,6.957221212757465,12.27394688573265,2.0594604276895945,0.0,2.232369126918188,0.0,2.385040954950508,0.0,0.0,0.1710649075401513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.25422981774477,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL5285898,4.501972841605777,3.768507233140169,8.169801902242378,10.424654501059171,1.2794543650793648,0.0,2.899945187179811,1.174189814814815,0.0,-0.2949288627488025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.90973635096065,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL5285921,2.2178755012807594,7.072741808914925,5.8209361615016375,0.0,1.777967687074829,0.0,1.9651053214495684,0.0,0.0,-0.0477361662257493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.1901667611489,0.0,0.0,0.0,0.0,0.0,3.752942924855127
CHEMBL5285990,6.756343936947292,8.20967538247954,4.3048048154446965,0.0,1.8415628674309223,0.0,3.1525075903550395,0.0,0.0,-0.0064573885109595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.908229462520136,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL5286151,4.8874860901150585,6.031110351739409,6.001117357436801,10.858116505968392,2.9601430902684505,0.0,3.002756214120458,1.3653692024649369,0.0,0.3084222279744459,0.0,3.492991956494617,0.0,0.0,0.0,0.0,0.0,0.0,11.97120213608819,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL5286286,3.6470370340004177,7.61973506375946,2.262588813303099,0.0,1.1842207577475423,0.0,1.3844513063362271,0.0,0.0,-0.3875403386663301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.476196223859915,24.02831892132172,5.618325551671286,0.0,0.0,0.0,0.0,0.0
CHEMBL5286289,4.536965388007054,4.683324514991181,5.812300491949662,8.285237780297305,1.7246858465608466,0.0,1.849571142500211,2.081683804694718,0.0,-0.2273260345804983,5.948348831803918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.97187490044228,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL5286458,2.1991857286419667,5.981250842107382,0.0,8.909282569255616,1.655463514543149,0.0,-0.0504998097841706,3.300650934131396,0.0,-0.0920464149674002,0.0,0.0,0.0,0.0,3.53772273424961,0.0,0.0,0.0,24.50903537974345,5.442987251795423,4.8569672702835724,0.0,0.0,0.0,0.0
CHEMBL5286506,11.466252653161352,11.119495172120464,2.4124214081197985,8.757517009053874,4.50066293513218,0.0,3.257489504494306,2.330256906551776,0.0,0.8572437929711907,0.0,0.0,0.0,0.0,0.0,2.271159790177422,0.0,0.0,0.0,5.41846901217013,0.0,0.0,0.0,0.0,0.0
CHEMBL5286569,6.58396947285974,5.933044951402809,5.983195083333209,8.483966417398888,2.7838396826437948,0.0,2.958814332638703,2.202786279361788,0.0,0.261044734644156,0.0,3.4896555524885704,0.0,0.0,0.0,0.0,0.0,0.0,12.003656530631954,5.350072861833037,0.0,0.0,0.0,0.0,0.0
CHEMBL5286772,6.47684938563064,7.67882073008561,5.450666701674548,0.0,0.7708679202090998,0.0,1.213708327891421,0.0,0.0,-0.4853282724170169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.39450189437846,5.999913312547241,0.0,0.0,0.0,0.0,0.0
CHEMBL5286833,2.2118469440245234,6.820308719660703,6.480393307508189,0.0,1.6778204648526072,0.0,2.0515073197488887,0.0,0.0,0.1017139471529351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.253610717435123,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL5286866,6.969597558159066,5.683403302679096,5.902893203577728,0.0,2.3786110586209777,0.0,1.5260276386789289,0.0,0.0,0.1922425752708487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.501126914111222,11.846097748902132,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL5286895,4.190367365310322,6.756942292349039,1.8553674571680523,0.0,1.5062559576299654,0.0,1.906500889707736,0.0,0.0,-0.3071991528092712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.357514723481987,24.567583800495505,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL5286964,7.401749732300328,11.820649158583189,2.6301436917359537,0.0,3.350182324472998,0.0,1.837637471655329,0.0,0.0,0.7107323554421767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.58223859914336,0.0,0.0,0.0,0.0,0.0,0.0,0.0
