molecule_chembl_id,SubFPC_0,SubFPC_1,SubFPC_2,SubFPC_3,SubFPC_4,SubFPC_11,SubFPC_13,SubFPC_17,SubFPC_22,SubFPC_48,SubFPC_84,SubFPC_87,SubFPC_132,SubFPC_134,SubFPC_136,SubFPC_168,SubFPC_170,SubFPC_171,SubFPC_176,SubFPC_178,SubFPC_179,SubFPC_180,SubFPC_181,SubFPC_183,SubFPC_210,SubFPC_213,SubFPC_273,SubFPC_274,SubFPC_278,SubFPC_286,SubFPC_287,SubFPC_288,SubFPC_289,SubFPC_294,SubFPC_295,SubFPC_296,SubFPC_297,SubFPC_299,SubFPC_300,SubFPC_301,SubFPC_302,SubFPC_304,SubFPC_306
CHEMBL1094149,1,0,0,0,0,0,0,1,0,1,0,1,0,2,9,1,0,0,0,0,0,0,0,0,0,0,12,0,0,8,0,0,0,9,0,0,0,0,1,6,0,0,16
CHEMBL1094154,0,2,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,1,0,0,0,0,0,4,0,0,0,1,0,4,0,1,15
CHEMBL1094331,0,0,0,0,1,0,0,5,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,12,1,0,5,0,0,0,13,0,0,0,0,1,7,1,0,15
CHEMBL1094426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,3,0,0,20,3,1,0,0,0,0,8,0,0,0,0,1,3,0,0,19
CHEMBL1094427,0,0,0,0,0,0,0,1,0,0,0,0,0,3,2,0,0,0,1,0,0,1,1,2,0,0,34,2,1,3,0,0,0,9,0,0,0,0,1,8,0,0,32
CHEMBL1094428,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,3,0,0,20,3,1,0,0,0,0,8,0,0,0,0,1,4,0,0,20
CHEMBL1095413,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,1,0,2,0,0,17,2,1,5,0,0,0,8,0,0,0,0,1,4,1,0,21
CHEMBL1096024,0,1,0,0,1,0,0,1,2,1,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,6,1,1,6,0,1,1,6,0,0,0,2,3,3,1,0,14
CHEMBL1096024,0,1,0,0,1,0,0,1,2,1,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,6,1,1,6,0,1,1,6,0,0,0,2,3,3,1,0,14
CHEMBL1096439,0,0,0,0,1,0,0,3,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,12,1,0,5,0,0,0,9,0,0,0,0,1,5,1,0,15
CHEMBL1096744,0,0,1,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,1,0,1,0,0,24,2,1,2,0,0,0,9,0,0,0,1,0,6,0,1,26
CHEMBL1097041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,4,0,0,20,4,1,2,0,0,0,11,0,0,0,0,1,3,0,0,19
CHEMBL1097042,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,0,0,1,0,0,0,1,1,0,0,20,1,3,3,0,0,0,4,0,0,0,0,0,1,0,0,19
CHEMBL1097043,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,3,0,0,20,3,1,0,0,0,0,8,0,0,0,0,1,4,0,0,20
CHEMBL1097371,3,3,4,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,4,0,0,0,1,0,0,0,1,9
CHEMBL1097763,1,0,0,0,0,0,0,0,0,1,0,1,0,2,9,2,0,0,0,0,0,0,0,0,0,0,12,0,0,8,0,0,0,6,0,0,0,2,1,4,0,0,15
CHEMBL1097764,2,3,2,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,1,0,0,0,5,0,0,0,0,0,0,1,0,9
