molecule_chembl_id,EStateC_0,EStateC_1,EStateC_2,EStateC_3,EStateC_4,EStateC_5,EStateC_6,EStateC_7,EStateC_8,EStateC_9,EStateC_10,EStateC_11,EStateC_12,EStateC_13,EStateC_14,EStateC_15,EStateC_16,EStateC_17,EStateC_18,EStateC_19,EStateC_20,EStateC_21,EStateC_22,EStateC_23,EStateC_24,EStateC_25,EStateC_26,EStateC_27,EStateC_28,EStateC_29,EStateC_30,EStateC_31,EStateC_32,EStateC_33,EStateC_34,EStateC_35,EStateC_36,EStateC_37,EStateC_38,EStateC_39,EStateC_40,EStateC_41,EStateC_42,EStateC_43,EStateC_44,EStateC_45,EStateC_46,EStateC_47,EStateC_48,EStateC_49,EStateC_50,EStateC_51,EStateC_52,EStateC_53,EStateC_54,EStateC_55,EStateC_56,EStateC_57,EStateC_58,EStateC_59,EStateC_60,EStateC_61,EStateC_62,EStateC_63,EStateC_64,EStateC_65,EStateC_66,EStateC_67,EStateC_68,EStateC_69,EStateC_70,EStateC_71,EStateC_72,EStateC_73,EStateC_74,EStateC_75,EStateC_76,EStateC_77,EStateC_78
CHEMBL172263,0.0,0.0,0.0,0.0,0.0,0.0,3.744526748971193,0.0,0.650599962207105,0.0,0.0,7.30474962207105,-0.22270261190896168,0.0,0.0,-0.06565145502645442,1.5907760665994797,0.0,-0.5882407407407408,0.0,5.657279331485681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4072656840513984,0.0,0.0,0.0,0.0,24.604730725623583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL1728910,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.47245862541272,0.0,0.0,3.901712805492567,0.0,1.731087438061645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.649296040960003,0.0,0.0,3.914798831569665,0.0,0.0,0.0,0.0,0.0,0.0,5.4973129251700685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL174308,0.0,0.0,0.0,0.0,0.0,0.0,4.0285483467951,0.0,1.1746717529604433,0.0,0.0,7.336731859410431,0.1492984168976228,0.0,0.0,-0.03102182539682463,1.6013565812127326,0.0,-0.5836574074074075,0.0,5.674946236223293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4396730914588056,0.0,0.0,0.0,0.0,24.79278628117914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL174407,0.0,0.0,0.0,0.0,0.0,0.0,1.9726075067308833,0.0,2.0016924655664736,0.0,0.0,7.324720804988662,-0.1387273242630389,0.0,0.0,-0.025188492063491275,1.6048053928361474,0.0,-0.5694907407407408,0.0,5.656750643936791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4211545729402872,0.0,0.0,0.0,0.0,24.501675170068026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL174407,0.0,0.0,0.0,0.0,0.0,0.0,1.9726075067308833,0.0,2.0016924655664736,0.0,0.0,7.324720804988662,-0.1387273242630389,0.0,0.0,-0.025188492063491275,1.6048053928361474,0.0,-0.5694907407407408,0.0,5.656750643936791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4211545729402872,0.0,0.0,0.0,0.0,24.501675170068026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL174579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2397581254724113,0.0,2.1629346182917613,10.126837732006383,0.0,0.0,0.0,1.383888888888889,4.958702693268666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9735784097589653,0.0,0.0,0.0,4.228995338876292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5086375267699674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL174909,0.0,0.0,0.0,0.0,0.0,0.0,2.0570407714279466,0.0,3.080569369136288,0.0,0.0,7.352691484001008,-0.13844387755102083,0.0,0.0,-0.003707010582010062,1.6120463201988278,0.0,-0.5709079743008314,0.0,5.674771764230639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4524045729402872,0.0,0.0,0.0,0.0,24.733534580498866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL174909,0.0,0.0,0.0,0.0,0.0,0.0,2.0570407714279466,0.0,3.080569369136288,0.0,0.0,7.352691484001008,-0.13844387755102083,0.0,0.0,-0.003707010582010062,1.6120463201988278,0.0,-0.5709079743008314,0.0,5.674771764230639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4524045729402872,0.0,0.0,0.0,0.0,24.733534580498866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL175091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.030069916855631,0.0,2.081231103552532,9.468422384360334,0.0,0.0,2.1790891124968503,1.2911479591836736,4.141170792391032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0775493669690097,8.862570938894892,0.0,0.0,4.202081758629378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL175144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.439978662761401,0.0,2.1436728395061726,9.77931845063128,0.0,0.0,0.0,1.3341203703703706,4.458878732048376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.972906256123849,0.0,0.0,0.0,4.240754440665155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.07481469233784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
